Packet,1_2_Id,2_0_1_7_Id,Status
SCSkillStoppedPacket,0xa4,0x11c,RENUMBERED
SCSkillUpgradedPacket,0x106,0xfff,RENUMBERED
SCSlaveBoundPacket,0x64,0x26a,RENUMBERED
SCSlaveCreatedPacket,0x61,0xfff,RENUMBERED
SCSlaveDespawnPacket,0x63,0x256,RENUMBERED
SCSlaveEquipmentChangedPacket,0x68,0x0a0,RENUMBERED
SCSlaveRemovedPacket,0x62,0x04e,RENUMBERED
SCSlaveStatePacket,0x1ab,0x0cf,RENUMBERED
SCSoldItemListPacket,0x12c,0x017,RENUMBERED
SCSoundAreaEventPacket,0x152,0x23a,RENUMBERED
SCSpamReportedPacket,0x120,0x11e,RENUMBERED
SCSpecialtyCurrentPacket,0x1f4,0x13e,RENUMBERED
SCSpecialtyGoodsPacket,0x9a,0x1a7,RENUMBERED
SCSpecialtyRatioPacket,0x99,0x089,RENUMBERED
SCSpecialtyRecordsPacket,0x9b,0x29e,RENUMBERED
